Datetime;Ticker;superior_POI;Close;Timeframe;DIRECTION;first_fractal_Datetime;first_fractal;first_fractal_price;second_fractal_Datetime;second_fractal;second_fractal_price
2021-12-20 07:00:00+00:00;EURGBP;5;0,8533999919891357;H4;BUY;2021-12-07 11:00:00+00:00;higher_low;0,8489013924629425;2021-12-08 19:00:00+00:00;higher_high;0,8588794063467851
2021-12-20 08:00:00+00:00;EURGBP;5;0,8533999919891357;H3;BUY;2021-12-07 11:00:00+00:00;higher_low;0,8489013924629425;2021-12-08 20:00:00+00:00;higher_high;0,8588794063467851
2021-12-20 11:00:00+00:00;EURGBP;4;0,8526700139045715;H2;SELL;2021-12-14 09:00:00+00:00;lower_high;0,8549190729561796;2021-12-16 15:00:00+00:00;lower_low;0,8480714648546014
2021-12-01 00:00:00;EURGBP;6;0,850570023059845;MO;;2015-07-01 00:00:00;higher_low;0,6936439590788804;2020-03-01 00:00:00;lower_high;0,949486741291462
2021-12-13 00:00:00;EURGBP;6;0,8462499976158142;W1;;2020-03-16 00:00:00;higher_high;0,949486741291462;2020-12-21 00:00:00;higher_low;0,8421219715996621
2021-12-17 00:00:00;EURGBP;6;0,850570023059845;D1;SELL;2021-09-29 00:00:00;lower_high;0,8658299887546145;2021-11-22 00:00:00;lower_low;0,8379922995004199
2021-12-19 23:00:00+00:00;EURCHF;6;1,0407299995422363;H12;;2021-09-17 12:00:00+01:00;6;1,0935683529609663;2021-09-22 12:00:00+01:00;higher_low;1,0814026468482156
2021-12-19 23:00:00+00:00;EURCHF;7;1,0391099452972412;H8;SELL;2021-10-20 00:00:00+01:00;lower_high;1,0764569802158448;2021-11-04 23:00:00+00:00;lower_low;1,053424818673832
2021-12-20 05:00:00+00:00;EURCHF;6;1,0407299995422363;H6;SELL;2021-10-20 06:00:00+01:00;lower_high;1,0764569802158448;2021-12-03 17:00:00+00:00;lower_low;1,0371061473004606
2021-12-20 07:00:00+00:00;EURCHF;6;1,0407299995422363;H4;;2021-12-03 19:00:00+00:00;lower_low;1,0371061473004606;2021-12-08 15:00:00+00:00;lower_high;1,0454444426550642
2021-12-20 08:00:00+00:00;EURCHF;6;1,0407299995422363;H3;;2021-12-03 20:00:00+00:00;lower_low;1,0371061473004606;2021-12-08 14:00:00+00:00;lower_high;1,0454444426550642
2021-12-20 11:00:00+00:00;EURCHF;6;1,0403000116348269;H2;;2021-12-08 15:00:00+00:00;lower_high;1,0454444426550642;2021-12-14 07:00:00+00:00;higher_low;1,0389160748846686
2021-12-01 00:00:00;EURCHF;6;1,0414700508117676;MO;;2015-01-01 00:00:00;lower_low;0,8642301702889575;2019-01-01 00:00:00;higher_high;1,308105665474762
2021-12-13 00:00:00;EURCHF;6;1,038699984550476;W1;;2020-05-11 00:00:00;lower_low;1,0500151124998147;2021-03-01 00:00:00;lower_high;1,1150901105295947
2021-12-17 00:00:00;EURCHF;6;1,0414700508117676;D1;;2021-03-04 00:00:00;higher_high;1,1150901105295947;2021-08-19 00:00:00;lower_low;1,0694135453980271
2021-12-19 23:00:00+00:00;EURCAD;6;1,455430030822754;H12;;2021-08-20 00:00:00+01:00;6;1,5094719098550404;2021-11-24 11:00:00+00:00;lower_low;1,4169854397763868
2021-12-19 23:00:00+00:00;EURCAD;6;1,4527900218963623;H8;;2021-11-24 15:00:00+00:00;lower_low;1,4169854397763868;2021-12-02 07:00:00+00:00;higher_high;1,4536074725600103
2021-12-20 05:00:00+00:00;EURCAD;6;1,455430030822754;H6;;2021-12-02 11:00:00+00:00;higher_high;1,4536074725600103;2021-12-07 11:00:00+00:00;higher_low;1,421985030968724
2021-12-20 07:00:00+00:00;EURCAD;7;1,455430030822754;H4;BUY;2021-12-07 15:00:00+00:00;higher_low;1,421985030968724;2021-12-15 15:00:00+00:00;higher_high;1,4547275343380512
2021-12-20 08:00:00+00:00;EURCAD;7;1,455430030822754;H3;BUY;2021-12-07 14:00:00+00:00;higher_low;1,421985030968724;2021-12-15 14:00:00+00:00;higher_high;1,4547275343380512
2021-12-20 11:00:00+00:00;EURCAD;6;1,4569499492645264;H2;;2021-12-15 15:00:00+00:00;higher_high;1,4547275343380512;2021-12-16 11:00:00+00:00;higher_low;1,4428434212596777
2021-12-01 00:00:00;EURCAD;6;1,4484399557113647;MO;;2018-03-01 00:00:00;lower_high;1,6153005207455775;2020-02-01 00:00:00;higher_low;1,4263047073204178
2021-12-13 00:00:00;EURCAD;6;1,4464600086212158;W1;;2021-05-10 00:00:00;higher_low;1,4579821352334126;2021-08-16 00:00:00;lower_high;1,511472164938805
2021-12-17 00:00:00;EURCAD;6;1,4484399557113647;D1;;2021-08-20 00:00:00;higher_high;1,511472164938805;2021-11-24 00:00:00;lower_low;1,4163055249357437
2021-12-19 23:00:00+00:00;EURAUD;5;1,5848100185394287;H12;SELL;2021-09-21 12:00:00+01:00;lower_high;1,623141191629709;2021-10-29 12:00:00+01:00;lower_low;1,5356359434531357
2021-12-19 23:00:00+00:00;EURAUD;6;1,585669994354248;H8;;2021-10-29 16:00:00+01:00;lower_low;1,5356359434531357;2021-12-03 15:00:00+00:00;lower_high;1,616590588707279
2021-12-20 05:00:00+00:00;EURAUD;6;1,5848100185394287;H6;BUY;2021-11-15 23:00:00+00:00;higher_low;1,545565036439791;2021-12-03 17:00:00+00:00;higher_high;1,616590588707279
2021-12-20 07:00:00+00:00;EURAUD;6;1,5848100185394287;H4;BUY;2021-11-15 23:00:00+00:00;higher_low;1,545565036439791;2021-12-03 19:00:00+00:00;higher_high;1,616590588707279
2021-12-20 08:00:00+00:00;EURAUD;6;1,5848100185394287;H3;;2021-12-03 17:00:00+00:00;higher_high;1,616590588707279;2021-12-10 11:00:00+00:00;higher_low;1,5732328263076332
2021-12-20 11:00:00+00:00;EURAUD;6;1,5858099460601809;H2;;2021-12-14 13:00:00+00:00;higher_high;1,5897684770577656;2021-12-16 11:00:00+00:00;lower_low;1,5670333713730251
2021-12-01 00:00:00;EURAUD;6;1,5791000127792358;MO;;2015-08-01 00:00:00;lower_high;1,6531835255981853;2017-02-01 00:00:00;higher_low;1,3625698429895243
2021-12-13 00:00:00;EURAUD;6;1,5767199993133545;W1;;2020-03-16 00:00:00;higher_high;1,97382949425176;2020-12-28 00:00:00;lower_low;1,3028946805595114
2021-12-17 00:00:00;EURAUD;6;1,5791000127792358;D1;;2021-08-20 00:00:00;higher_high;1,6435228586412955;2021-11-01 00:00:00;higher_low;1,5357259391937883
2021-12-19 23:00:00+00:00;CHFJPY;6;122,97200012207033;H12;;2021-11-01 23:00:00+00:00;6;125,45013900523278;2021-11-28 23:00:00+00:00;higher_low;122,30311967875608
2021-12-19 23:00:00+00:00;CHFJPY;6;122,81700134277344;H8;;2021-11-01 23:00:00+00:00;higher_high;125,45013900523278;2021-11-28 23:00:00+00:00;higher_low;122,30311967875608
2021-12-20 05:00:00+00:00;CHFJPY;6;122,97200012207033;H6;;2021-11-01 23:00:00+00:00;higher_high;125,45013900523278;2021-11-29 05:00:00+00:00;higher_low;122,30311967875608
2021-12-20 07:00:00+00:00;CHFJPY;5;122,97200012207033;H4;BUY;2021-12-06 15:00:00+00:00;higher_low;122,39410811414852;2021-12-08 23:00:00+00:00;higher_high;123,55698066403863
